31,7
30,8
29,9
28,10
27,11
26,12
25,13
26,14
27,15
28,16
29,17
30,18
31,19
32,20
33,21
34,22
35,23
36,24
37,25
38,26
39,27
39,28
39,29
38,30
38,31
37,32
37,33
37,34
37,35
37,36
37,37
37,38
37,39
37,40
37,41
37,42
37,43
37,44
37,45
37,46
37,47
37,48
37,49
37,50
37,51
37,52
37,53
37,54
37,55
37,56
37,57
37,58
37,59
37,60
37,61
37,62
37,63
37,64
37,65
38,66
38,67
38,68
38,69
38,70
38,71
38,72
38,73
38,74
38,75
38,76
38,77
38,78
38,79
38,80
38,81
38,82
38,83
38,84
38,85
38,86
38,87
38,88
38,89
38,90
38,91
38,92
37,93
36,94
35,95
34,96
33,97
32,98
32,99
31,100
31,101
31,102
31,103
31,104
31,105
31,106
31,107
31,108
31,109
31,110
31,111
31,112
32,113
32,114
32,115
32,116
33,117
33,118
34,119
35,120
36,121
37,122
38,123
39,124
40,125
41,125
42,126
43,126
44,126
45,126
46,126
47,126
48,126
49,126
50,126
51,126
52,126
53,126
54,126
55,126
56,126
57,126
58,126
59,125
60,124
61,123
62,122
63,121
64,120
